NOME_CAMPO,DEFINIZIONE
CODREG,Codice numerico che identifica univocamente la regione nell’ambito del territorio nazionale
REGIONE,Denominazione della regione
CODPRO,Codice numerico che identifica univocamente la provincia nell’ambito del territorio nazionale
PROVINCIA,Denominazione della provincia
CODCOM,Codice numerico che identifica univocamente il comune nell’ambito del territorio provinciale
COMUNE,Denominazione del comune
PROCOM,Codice numerico che identifica univocamente il comune nell’ambito del territorio nazionale
SEZ2011,Codice numerico che identifica univocamente la sezione di censimento 2011 nell’ambito del territorio nazionale. 
P1,Popolazione residente - totale
P2,Popolazione residente - maschi
P3,Popolazione residente - femmine
P14,Popolazione residente - età < 5 anni
P15,Popolazione residente - età 5 - 9 anni
P16,Popolazione residente - età 10 - 14 anni
P17,Popolazione residente - età 15 - 19 anni
P18,Popolazione residente - età 20 - 24 anni
P19,Popolazione residente - età 25 - 29 anni
P20,Popolazione residente - età 30 - 34 anni
P21,Popolazione residente - età 35 - 39 anni
P22,Popolazione residente - età 40 - 44 anni
P23,Popolazione residente - età 45 - 49 anni
P24,Popolazione residente - età 50 - 54 anni
P25,Popolazione residente - età 55 - 59 anni
P26,Popolazione residente - età 60 - 64 anni
P27,Popolazione residente - età 65 - 69 anni
P28,Popolazione residente - età 70 - 74 anni
P29,Popolazione residente - età > 74 anni
P30,Popolazione residente - maschi - età < 5 anni
P31,Popolazione residente - maschi - età 5 - 9 anni
P32,Popolazione residente - maschi - età 10 - 14 anni
P33,Popolazione residente - maschi - età 15 - 19 anni
P34,Popolazione residente - maschi - età 20 - 24 anni
P35,Popolazione residente - maschi - età 25 - 29 anni
P36,Popolazione residente - maschi - età 30 - 34 anni
P37,Popolazione residente - maschi - età 35 - 39 anni
P38,Popolazione residente - maschi - età 40 - 44 anni
P39,Popolazione residente - maschi - età 45 - 49 anni
P40,Popolazione residente - maschi - età 50 - 54 anni
P41,Popolazione residente - maschi - età 55 - 59 anni
P42,Popolazione residente - maschi - età 60 - 64 anni
P43,Popolazione residente - maschi - età 65 - 69 anni
P44,Popolazione residente - maschi - età 70 - 74 anni
P45,Popolazione residente - maschi - età > 74 anni
P67,Popolazione residente - femmine - età < 5 anni
P68,Popolazione residente - femmine - età 5 - 9 anni
P69,Popolazione residente - femmine - età 10 - 14 anni
P70,Popolazione residente - femmine - età 15 - 19 anni
P71,Popolazione residente - femmine - età 20 - 24 anni
P72,Popolazione residente - femmine - età 25 - 29 anni
P73,Popolazione residente - femmine - età 30 - 34 anni
P74,Popolazione residente - femmine - età 35 - 39 anni
P75,Popolazione residente - femmine - età 40 - 44 anni
P76,Popolazione residente - femmine - età 45 - 49 anni
P77,Popolazione residente - femmine - età 50 - 54 anni
P78,Popolazione residente - femmine - età 55 - 59 anni
P79,Popolazione residente - femmine - età 60 - 64 anni
